frame,p_incomplete,p_complete,p_interception,p_incomplete_raw,p_complete_raw,p_interception_raw
0,0.6999344843070635,0.2759110194856335,0.02415449620730326,0.6652934523847582,0.31020623109044265,0.02450031652479916
1,0.4738964259013668,0.5067039960343924,0.0193995780642409,0.5538504778159649,0.4284830152922895,0.017666506891745582
2,0.3116413455134168,0.6718069313721418,0.01655172311444087,0.27962538130345116,0.7006986039695974,0.01967601472695138
3,0.1811065532823632,0.8036074972895668,0.015285949428069608,0.1759031435085709,0.8109185761110446,0.013178280380384528
4,0.2029563924684439,0.7805584228515937,0.016485184679961906,0.20244916264307594,0.7802780243422887,0.01727281301463549
5,0.24026508851364278,0.7307449692771312,0.02898994220922566,0.2583223895578064,0.7152079608728916,0.026469649569301982
6,0.25128420149150377,0.70752083612668,0.041194962381815685,0.23666409380764133,0.7188680819705187,0.04446782422184004
7,0.22943769408072812,0.726935805682917,0.04362650023635437,0.24128405712936765,0.7131529858533697,0.04556295701726265
8,0.21205517710981786,0.7352311432142671,0.05271367967591466,0.20542413828137582,0.7523418055844242,0.042234056134200074
9,0.20654174880730644,0.7388927961797784,0.05456545501291473,0.20053376492284994,0.7299141095486045,0.06955212552854562
10,0.20833274063575868,0.7399139052461431,0.0517533541180977,0.2207002450478157,0.7389738604493288,0.040325894502855494
11,0.19582032354197657,0.7681395129011642,0.03604016355685882,0.1899177413316385,0.7678736769596489,0.04220858170871267
12,0.18119926109789425,0.785865394525874,0.0329353443762314,0.17646796792368108,0.7939989884564449,0.029533043619874164
13,0.16851531012373036,0.8036436685570734,0.027841021319195913,0.17976917985269433,0.7916338049989141,0.02859701514839164
14,0.15065452413588104,0.8251139027838811,0.02423157308023749,0.14404121178160778,0.8299540658362434,0.026004722382148775
15,0.14738835817812795,0.8336743513392035,0.01893729048266806,0.14479904521126305,0.8380206353724245,0.017180319416312526
16,0.18658567641402732,0.7947006787322757,0.018713644853696507,0.18040235084264622,0.8013629469556723,0.018234702201681358
17,0.19931374559188125,0.7768371650420447,0.02384908936607335,0.2190021480966519,0.7562170809884423,0.02478077091490572
18,0.16852301490212263,0.8040349060611507,0.027442079036726102,0.1566106580613941,0.8165455804794801,0.026843761459125856
19,0.11858443776935379,0.8579764976239775,0.02343906460666815,0.11893813104730964,0.8557433411454973,0.025318527807192903
20,0.09029411615680184,0.8942946773815543,0.015411206461643227,0.09271732088966808,0.8931631269170436,0.014119552193288358
21,0.07282853907259892,0.9168431524744067,0.010328308452993915,0.0688074029998898,0.9221042094757278,0.009088387524382393
22,0.06246571338708316,0.9289129948986299,0.008621291714286421,0.0663382746728341,0.9226644384171944,0.010997286909971609
23,0.060397113861311504,0.931001023502665,0.008601862636022866,0.05752657902175327,0.9363206616858284,0.006152759292418122
24,0.05922745578027387,0.9344134524912722,0.0063590917284533175,0.05976884082699339,0.9316499016092621,0.008581257563744496
25,0.05283064835364314,0.9420554886028147,0.005113863043541623,0.05697201174072072,0.9392916259853614,0.003736362273917898
26,0.047872536666952306,0.9487115041392709,0.0034159591937770314,0.03935920229349555,0.9576438756552019,0.0029969220513025342
27,0.041902989242900764,0.9568651695779546,0.001231841179144576,0.04546942919844959,0.9528596275895646,0.001670943211985781
