frame,p_incomplete,p_complete,p_interception,p_incomplete_raw,p_complete_raw,p_interception_raw
0,0.11201924321717852,0.8668779664205352,0.021102790362286166,0.10715833373772107,0.8752583393802805,0.017583326881998283
1,0.10319084015805925,0.8757225343557279,0.021086625486212957,0.11919137532983035,0.8504339784786716,0.03037464619149803
2,0.10122466722921518,0.8800129150286241,0.018762417742160305,0.08238851859064629,0.9055963449013215,0.012015136508032364
3,0.10370849501673045,0.8857839912650837,0.010507513718185398,0.1152350541103007,0.8709264244860189,0.013838521403680434
4,0.11999792466350781,0.8708665964811476,0.009135478855344046,0.11646120502895431,0.8750785515853503,0.00846024338569531
5,0.08320258410462988,0.9144975812901431,0.002299834605226608,0.11927371724508692,0.8733687814628078,0.007357501292105407
6,0.22651916932188945,0.7406769608116822,0.03280386986642783,0.11561760758738678,0.8702526455975761,0.014129746815037153
7,0.3959413001515517,0.5362996806854217,0.06775901916302615,0.5182677795232065,0.39034967748325733,0.09138254299353617
8,0.5089411627734239,0.3879735029137439,0.10308533431283173,0.44614758295069934,0.4699957331155441,0.0838566839337566
9,0.4753681313294647,0.4222776491917838,0.10235421947875176,0.4453226271039894,0.4427766311315416,0.11190074176446907
10,0.30377840786888644,0.6231240718595338,0.07309752027157981,0.3292667566187451,0.5992042091893545,0.07152903419190046
