play_id,outcome,frame_m3,frame_m6,frame_diff,total_frames
Week_01_BUF_vs_NYJ_036_Q4_949_BUF,interception,8,7,1,14
Week_01_BUF_vs_NYJ_037_Q4_819_NYJ,complete,6,5,1,10
Week_01_BUF_vs_NYJ_038_Q4_616_NYJ,complete,0,12,12,94
Week_01_BUF_vs_NYJ_039_Q4_458_NYJ,complete,0,8,8,11
Week_01_BUF_vs_NYJ_040_Q4_122_BUF,complete,0,7,7,11
Week_01_BUF_vs_NYJ_041_Q4_100_BUF,complete,0,8,8,11
Week_01_BUF_vs_NYJ_042_Q4_035_BUF,complete,6,6,0,12
Week_01_BUF_vs_NYJ_043_Q4_029_BUF,complete,6,6,0,7
Week_01_BUF_vs_NYJ_044_Q5_1000_BUF,incomplete,8,8,0,9
Week_01_BUF_vs_NYJ_045_Q5_926_BUF,incomplete,5,4,1,11
Week_01_CAR_vs_ATL_001_Q1_1218_CAR,complete,0,3,3,9
Week_01_CAR_vs_ATL_002_Q1_110_CAR,interception,2,9,7,10
Week_01_CAR_vs_ATL_003_Q2_1452_CAR,incomplete,9,9,0,10
Week_01_CAR_vs_ATL_004_Q2_1446_CAR,complete,0,4,4,8
Week_01_CAR_vs_ATL_005_Q2_1401_ATL,incomplete,3,1,2,7
Week_01_CAR_vs_ATL_006_Q2_1259_ATL,complete,0,7,7,8
Week_01_CAR_vs_ATL_007_Q2_1104_CAR,complete,0,4,4,9
Week_01_CAR_vs_ATL_008_Q2_946_CAR,complete,7,7,0,8
Week_01_CAR_vs_ATL_009_Q2_828_CAR,complete,1,1,0,8
Week_01_CAR_vs_ATL_010_Q2_748_CAR,complete,3,4,1,14
Week_01_CAR_vs_ATL_011_Q2_623_CAR,complete,0,3,3,9
Week_01_CAR_vs_ATL_012_Q2_513_CAR,complete,0,8,8,9
Week_01_CAR_vs_ATL_013_Q2_302_ATL,complete,0,3,3,9
Week_01_CAR_vs_ATL_014_Q2_148_CAR,incomplete,0,15,15,16
Week_01_CAR_vs_ATL_015_Q2_144_CAR,incomplete,0,15,15,18
Week_01_CAR_vs_ATL_016_Q2_139_CAR,incomplete,0,5,5,12
Week_01_CAR_vs_ATL_017_Q2_041_ATL,complete,3,1,2,6
Week_01_CAR_vs_ATL_018_Q3_1500_CAR,complete,3,1,2,6
Week_01_CAR_vs_ATL_019_Q3_1337_CAR,complete,0,8,8,12
Week_01_CAR_vs_ATL_020_Q3_1131_CAR,complete,0,4,4,10
Week_01_CAR_vs_ATL_021_Q3_1024_ATL,incomplete,4,4,0,9
Week_01_CAR_vs_ATL_022_Q3_817_CAR,complete,0,3,3,6
Week_01_CAR_vs_ATL_023_Q3_648_CAR,interception,9,10,1,11
Week_01_CAR_vs_ATL_024_Q3_333_CAR,complete,0,4,4,9
Week_01_CAR_vs_ATL_025_Q3_118_ATL,complete,0,4,4,8
Week_01_CAR_vs_ATL_026_Q3_055_ATL,complete,0,4,4,5
Week_01_CAR_vs_ATL_027_Q4_1334_CAR,complete,7,1,6,9
Week_01_CAR_vs_ATL_028_Q4_1225_CAR,incomplete,0,4,4,27
Week_01_CAR_vs_ATL_029_Q4_1031_ATL,complete,0,5,5,8
Week_01_CAR_vs_ATL_030_Q4_816_CAR,incomplete,0,5,5,6
Week_01_CAR_vs_ATL_031_Q4_725_CAR,incomplete,0,11,11,12
Week_01_CAR_vs_ATL_032_Q4_629_ATL,complete,0,8,8,11
Week_01_CAR_vs_ATL_033_Q4_505_ATL,complete,5,9,4,23
Week_01_CAR_vs_ATL_034_Q4_234_CAR,complete,3,3,0,7
Week_01_CAR_vs_ATL_035_Q4_226_CAR,complete,0,8,8,14
Week_01_CAR_vs_ATL_036_Q4_152_CAR,complete,5,4,1,9
Week_01_CAR_vs_ATL_037_Q4_123_CAR,complete,0,4,4,8
Week_01_CIN_vs_CLE_001_Q1_1411_CIN,complete,0,1,1,12
Week_01_CIN_vs_CLE_002_Q1_1001_CLE,complete,0,4,4,7
Week_01_CIN_vs_CLE_003_Q1_713_CIN,incomplete,7,7,0,8
Week_01_CIN_vs_CLE_004_Q1_513_CLE,incomplete,22,24,2,25
Week_01_CIN_vs_CLE_005_Q1_258_CIN,complete,5,6,1,7
Week_01_CIN_vs_CLE_006_Q1_209_CLE,complete,1,1,0,5
Week_01_CIN_vs_CLE_007_Q1_058_CLE,complete,0,1,1,11
Week_01_CIN_vs_CLE_008_Q2_1423_CLE,incomplete,0,9,9,10
Week_01_CIN_vs_CLE_009_Q2_1412_CIN,incomplete,1,1,0,6
Week_01_CIN_vs_CLE_010_Q2_1407_CIN,incomplete,0,5,5,8
Week_01_CIN_vs_CLE_011_Q2_1258_CLE,complete,0,8,8,11
Week_01_CIN_vs_CLE_012_Q2_1213_CLE,incomplete,0,29,29,34
Week_01_CIN_vs_CLE_013_Q2_852_CIN,incomplete,0,14,14,21
Week_01_CIN_vs_CLE_014_Q2_839_CLE,complete,0,6,6,9
Week_01_CIN_vs_CLE_015_Q2_645_CLE,incomplete,3,1,2,12
Week_01_CIN_vs_CLE_016_Q2_219_CLE,incomplete,1,10,9,11
Week_01_CIN_vs_CLE_017_Q2_154_CIN,complete,0,7,7,8
Week_01_CIN_vs_CLE_018_Q2_148_CIN,incomplete,0,3,3,22
Week_01_CIN_vs_CLE_019_Q2_056_CLE,incomplete,0,6,6,11
Week_01_CIN_vs_CLE_020_Q2_045_CLE,complete,0,7,7,12
Week_01_CIN_vs_CLE_021_Q2_041_CLE,complete,0,12,12,15
Week_01_CIN_vs_CLE_022_Q2_031_CLE,complete,0,1,1,7
Week_01_CIN_vs_CLE_023_Q2_026_CLE,incomplete,0,6,6,22
Week_01_CIN_vs_CLE_024_Q3_1341_CLE,incomplete,0,6,6,9
Week_01_CIN_vs_CLE_025_Q3_1251_CIN,incomplete,0,1,1,16
Week_01_CIN_vs_CLE_026_Q3_1233_CIN,complete,0,1,1,6
Week_01_CIN_vs_CLE_027_Q3_1144_CLE,complete,0,3,3,17
Week_01_CIN_vs_CLE_028_Q3_902_CIN,complete,0,1,1,8
Week_01_CIN_vs_CLE_029_Q3_820_CIN,complete,0,1,1,12
Week_01_CIN_vs_CLE_030_Q3_702_CIN,incomplete,0,17,17,21
Week_01_CIN_vs_CLE_031_Q3_312_CLE,incomplete,2,1,1,7
Week_01_CIN_vs_CLE_032_Q3_308_CLE,complete,0,5,5,9
Week_01_CIN_vs_CLE_033_Q3_142_CIN,complete,0,6,6,14
Week_01_CIN_vs_CLE_034_Q3_026_CIN,incomplete,0,14,14,17
Week_01_CIN_vs_CLE_035_Q3_021_CIN,complete,0,3,3,7
Week_01_CIN_vs_CLE_036_Q4_1454_CLE,complete,0,4,4,8
Week_01_CIN_vs_CLE_037_Q4_1220_CLE,complete,0,8,8,9
Week_01_CIN_vs_CLE_038_Q4_1129_CIN,incomplete,1,8,7,12
Week_01_CIN_vs_CLE_039_Q4_1124_CIN,incomplete,2,13,11,16
Week_01_CIN_vs_CLE_040_Q4_1120_CIN,complete,8,8,0,9
Week_01_CIN_vs_CLE_041_Q4_914_CLE,complete,0,8,8,10
Week_01_CIN_vs_CLE_042_Q4_911_CIN,complete,0,1,1,7
Week_01_CIN_vs_CLE_043_Q4_832_CIN,incomplete,0,16,16,21
Week_01_CIN_vs_CLE_044_Q4_827_CIN,complete,0,6,6,7
Week_01_CIN_vs_CLE_045_Q4_352_CIN,incomplete,4,3,1,18
Week_01_CIN_vs_CLE_046_Q4_217_CLE,complete,8,6,2,9
Week_01_DAL_vs_NYG_001_Q1_759_NYG,incomplete,7,7,0,8
Week_01_DAL_vs_NYG_002_Q1_706_DAL,complete,0,6,6,7
Week_01_DAL_vs_NYG_003_Q1_555_DAL,complete,3,15,12,19
Week_01_DAL_vs_NYG_004_Q1_410_DAL,incomplete,1,11,10,14
Week_01_DAL_vs_NYG_005_Q1_405_DAL,complete,0,1,1,8
Week_01_DAL_vs_NYG_006_Q1_230_NYG,interception,1,1,0,9
Week_01_DAL_vs_NYG_007_Q2_1500_DAL,incomplete,8,8,0,9
Week_01_DAL_vs_NYG_008_Q2_1450_DAL,incomplete,0,1,1,15
Week_01_DAL_vs_NYG_009_Q2_1423_DAL,complete,0,6,6,10
Week_01_DAL_vs_NYG_010_Q2_1342_DAL,complete,0,7,7,8
Week_01_DAL_vs_NYG_011_Q2_1105_DAL,incomplete,0,8,8,9
Week_01_DAL_vs_NYG_012_Q2_1048_DAL,complete,0,3,3,11
Week_01_DAL_vs_NYG_013_Q2_700_NYG,complete,1,4,3,7
Week_01_DAL_vs_NYG_014_Q2_552_NYG,complete,0,1,1,10
Week_01_DAL_vs_NYG_015_Q2_448_NYG,incomplete,0,10,10,13
Week_01_DAL_vs_NYG_016_Q2_431_NYG,complete,0,1,1,10
Week_01_DAL_vs_NYG_017_Q2_232_NYG,complete,0,5,5,9
Week_01_DAL_vs_NYG_018_Q2_120_NYG,incomplete,9,9,0,10
Week_01_DAL_vs_NYG_019_Q2_105_DAL,incomplete,0,9,9,24
Week_01_DAL_vs_NYG_020_Q3_1500_DAL,complete,0,5,5,9
Week_01_DAL_vs_NYG_021_Q3_1322_DAL,complete,0,3,3,7
Week_01_DAL_vs_NYG_022_Q3_1131_DAL,incomplete,1,1,0,13
Week_01_DAL_vs_NYG_023_Q3_803_NYG,complete,0,7,7,10
Week_01_DAL_vs_NYG_024_Q3_652_NYG,complete,0,6,6,10
Week_01_DAL_vs_NYG_025_Q3_408_DAL,complete,0,7,7,8
Week_01_DAL_vs_NYG_026_Q3_301_DAL,incomplete,9,5,4,10
Week_01_DAL_vs_NYG_027_Q3_216_NYG,complete,0,1,1,7
Week_01_DAL_vs_NYG_028_Q3_149_NYG,incomplete,7,3,4,8
Week_01_DAL_vs_NYG_029_Q3_145_NYG,complete,0,1,1,8
Week_01_DAL_vs_NYG_030_Q3_011_NYG,incomplete,0,9,9,10
Week_01_DAL_vs_NYG_031_Q3_007_NYG,incomplete,6,6,0,10
Week_01_DAL_vs_NYG_032_Q3_002_NYG,incomplete,1,1,0,10
Week_01_DAL_vs_NYG_033_Q4_1500_DAL,complete,0,11,11,16
Week_01_DAL_vs_NYG_034_Q4_1306_DAL,complete,5,5,0,6
Week_01_DAL_vs_NYG_035_Q4_1142_DAL,incomplete,0,6,6,7
Week_01_DAL_vs_NYG_036_Q4_1131_NYG,complete,0,1,1,8
Week_01_DAL_vs_NYG_037_Q4_831_NYG,complete,0,9,9,10
Week_01_DAL_vs_NYG_038_Q4_627_NYG,complete,0,10,10,11
Week_01_DAL_vs_NYG_039_Q4_601_NYG,complete,0,1,1,8
Week_01_DAL_vs_NYG_040_Q4_402_NYG,complete,0,3,3,9
Week_01_DAL_vs_NYG_041_Q4_316_NYG,incomplete,0,6,6,23
Week_01_DAL_vs_NYG_042_Q4_114_DAL,incomplete,0,1,1,17
Week_01_DET_vs_KC_001_Q1_1425_DET,incomplete,0,17,17,21
Week_01_DET_vs_KC_002_Q1_1256_KC,complete,0,5,5,9
Week_01_DET_vs_KC_003_Q1_1220_KC,complete,0,1,1,8
Week_01_DET_vs_KC_004_Q1_1006_DET,complete,0,11,11,16
Week_01_DET_vs_KC_005_Q1_809_DET,complete,0,4,4,7
Week_01_DET_vs_KC_006_Q1_730_DET,complete,0,6,6,10
Week_01_DET_vs_KC_007_Q1_536_DET,complete,0,1,1,8
Week_01_DET_vs_KC_008_Q1_252_DET,complete,1,3,2,7
Week_01_DET_vs_KC_009_Q1_211_KC,incomplete,0,1,1,8
Week_01_DET_vs_KC_010_Q1_206_KC,complete,7,7,0,15
Week_01_DET_vs_KC_011_Q2_1425_KC,complete,0,1,1,10
Week_01_DET_vs_KC_012_Q2_1354_KC,incomplete,6,1,5,7
Week_01_DET_vs_KC_013_Q2_1156_KC,complete,0,11,11,12
Week_01_DET_vs_KC_014_Q2_1150_DET,complete,0,5,5,6
Week_01_DET_vs_KC_015_Q2_1011_DET,complete,0,8,8,12
Week_01_DET_vs_KC_016_Q2_849_DET,complete,0,1,1,7
Week_01_DET_vs_KC_017_Q2_601_DET,complete,3,3,0,7
Week_01_DET_vs_KC_018_Q2_400_KC,incomplete,0,18,18,22
Week_01_DET_vs_KC_019_Q2_306_DET,incomplete,0,9,9,12
Week_01_DET_vs_KC_020_Q2_202_KC,complete,0,4,4,7
Week_01_DET_vs_KC_021_Q2_154_KC,incomplete,0,1,1,23
Week_01_DET_vs_KC_022_Q2_148_KC,complete,0,3,3,7
Week_01_DET_vs_KC_023_Q2_107_KC,complete,0,1,1,18
Week_01_DET_vs_KC_024_Q2_045_KC,complete,0,14,14,19
Week_01_DET_vs_KC_025_Q2_037_KC,complete,0,1,1,7
Week_01_DET_vs_KC_026_Q2_034_DET,complete,0,4,4,7
Week_01_DET_vs_KC_027_Q2_029_DET,complete,6,6,0,7
Week_01_DET_vs_KC_028_Q2_022_DET,complete,0,6,6,7
Week_01_DET_vs_KC_029_Q2_009_DET,incomplete,9,9,0,14
Week_01_DET_vs_KC_030_Q3_1342_KC,incomplete,7,7,0,8
Week_01_DET_vs_KC_031_Q3_1338_KC,complete,0,1,1,8
Week_01_DET_vs_KC_032_Q3_1254_DET,incomplete,6,6,0,7
Week_01_DET_vs_KC_033_Q3_1231_DET,complete,0,3,3,8
Week_01_DET_vs_KC_034_Q3_1144_KC,incomplete,9,9,0,10
Week_01_DET_vs_KC_035_Q3_1104_KC,interception,1,1,0,7
Week_01_DET_vs_KC_036_Q3_1054_KC,complete,8,7,1,13
Week_01_DET_vs_KC_037_Q3_937_KC,incomplete,0,19,19,20
Week_01_DET_vs_KC_038_Q3_930_KC,complete,0,3,3,8
Week_01_DET_vs_KC_039_Q3_808_DET,complete,0,11,11,12
Week_01_DET_vs_KC_040_Q3_731_DET,complete,6,4,2,8
Week_01_DET_vs_KC_041_Q3_428_KC,complete,8,8,0,9
Week_01_DET_vs_KC_042_Q3_300_KC,complete,2,1,1,7
Week_01_DET_vs_KC_043_Q3_221_KC,incomplete,0,5,5,6
Week_01_DET_vs_KC_044_Q3_218_KC,incomplete,5,5,0,6
Week_01_DET_vs_KC_045_Q3_210_DET,incomplete,2,1,1,9
Week_01_DET_vs_KC_046_Q3_201_DET,complete,0,3,3,11
Week_01_DET_vs_KC_047_Q3_121_DET,incomplete,0,4,4,8
Week_01_DET_vs_KC_048_Q3_031_KC,complete,0,1,1,7
Week_01_DET_vs_KC_049_Q4_1500_KC,complete,8,6,2,10
Week_01_DET_vs_KC_050_Q4_1223_KC,incomplete,2,1,1,9
Week_01_DET_vs_KC_051_Q4_1046_DET,complete,0,5,5,13
Week_01_DET_vs_KC_052_Q4_1008_DET,complete,5,5,0,6
Week_01_DET_vs_KC_053_Q4_831_DET,complete,1,1,0,10
Week_01_DET_vs_KC_054_Q4_706_KC,complete,0,3,3,9
Week_01_DET_vs_KC_055_Q4_230_KC,incomplete,0,9,9,13
Week_01_DET_vs_KC_056_Q4_219_KC,incomplete,7,1,6,8
Week_01_DET_vs_KC_057_Q4_214_KC,incomplete,1,17,16,18
Week_01_DET_vs_KC_058_Q4_209_KC,incomplete,0,16,16,19
Week_01_GB_vs_CHI_001_Q1_1341_CHI,complete,0,3,3,10
Week_01_GB_vs_CHI_002_Q1_1011_GB,complete,0,3,3,9
Week_01_GB_vs_CHI_003_Q1_734_GB,incomplete,0,4,4,15
Week_01_GB_vs_CHI_004_Q1_614_GB,complete,8,1,7,12
Week_01_GB_vs_CHI_005_Q1_601_CHI,complete,0,1,1,15
Week_01_GB_vs_CHI_006_Q1_438_CHI,complete,0,5,5,9
Week_01_GB_vs_CHI_007_Q1_251_CHI,complete,0,3,3,11
Week_01_GB_vs_CHI_008_Q1_204_GB,incomplete,1,6,5,11
Week_01_GB_vs_CHI_009_Q1_119_GB,complete,0,1,1,7
Week_01_GB_vs_CHI_010_Q2_1155_CHI,complete,0,1,1,11
Week_01_GB_vs_CHI_011_Q2_1118_CHI,complete,0,1,1,8
Week_01_GB_vs_CHI_012_Q2_1030_CHI,complete,0,6,6,7
Week_01_GB_vs_CHI_013_Q2_908_CHI,incomplete,0,10,10,11
Week_01_GB_vs_CHI_014_Q2_853_GB,complete,0,4,4,7
Week_01_GB_vs_CHI_015_Q2_731_GB,incomplete,7,9,2,13
Week_01_GB_vs_CHI_016_Q2_615_CHI,incomplete,0,5,5,12
Week_01_GB_vs_CHI_017_Q2_528_GB,incomplete,1,1,0,9
Week_01_GB_vs_CHI_018_Q2_523_GB,complete,0,1,1,6
Week_01_GB_vs_CHI_019_Q2_442_GB,complete,0,9,9,10
Week_01_GB_vs_CHI_020_Q2_406_GB,incomplete,0,1,1,29
Week_01_GB_vs_CHI_021_Q2_138_CHI,complete,0,6,6,10
Week_01_GB_vs_CHI_022_Q2_112_GB,incomplete,0,6,6,9
Week_01_GB_vs_CHI_023_Q2_107_GB,incomplete,0,6,6,24
Week_01_GB_vs_CHI_024_Q2_102_GB,complete,0,3,3,10
Week_01_GB_vs_CHI_025_Q2_041_GB,incomplete,1,1,0,11
Week_01_GB_vs_CHI_026_Q3_856_CHI,complete,6,5,1,8
Week_01_GB_vs_CHI_027_Q3_724_GB,incomplete,0,6,6,9
Week_01_GB_vs_CHI_028_Q3_634_GB,complete,0,3,3,7
Week_01_GB_vs_CHI_029_Q3_458_GB,complete,0,1,1,6
Week_01_GB_vs_CHI_030_Q3_338_GB,incomplete,10,5,5,15
Week_01_GB_vs_CHI_031_Q3_257_CHI,complete,6,6,0,7
Week_01_GB_vs_CHI_032_Q3_231_CHI,complete,0,1,1,12
Week_01_GB_vs_CHI_033_Q3_104_CHI,complete,1,18,17,21
Week_01_GB_vs_CHI_034_Q4_1500_GB,complete,0,5,5,15
Week_01_GB_vs_CHI_035_Q4_1421_GB,complete,0,1,1,26
Week_01_GB_vs_CHI_036_Q4_1334_GB,complete,0,5,5,13
Week_01_GB_vs_CHI_037_Q4_1259_CHI,incomplete,7,7,0,8
Week_01_GB_vs_CHI_038_Q4_1253_CHI,interception,0,9,9,10
Week_01_GB_vs_CHI_039_Q4_1154_CHI,complete,5,5,0,6
Week_01_GB_vs_CHI_040_Q4_644_GB,incomplete,0,9,9,29
Week_01_GB_vs_CHI_041_Q4_618_CHI,complete,0,9,9,10
Week_01_GB_vs_CHI_042_Q4_553_CHI,incomplete,0,1,1,13
Week_01_GB_vs_CHI_043_Q4_457_CHI,complete,0,6,6,7
Week_01_GB_vs_CHI_044_Q4_421_CHI,incomplete,3,4,1,8
Week_01_GB_vs_CHI_045_Q4_418_CHI,incomplete,7,3,4,11
Week_01_GB_vs_CHI_046_Q4_414_CHI,complete,0,7,7,8
Week_01_GB_vs_CHI_047_Q4_405_CHI,complete,4,3,1,7
Week_01_GB_vs_CHI_048_Q4_342_CHI,complete,7,5,2,8
Week_01_GB_vs_CHI_049_Q4_100_CHI,complete,7,7,0,8
Week_01_GB_vs_CHI_050_Q4_050_CHI,incomplete,0,8,8,9
Week_01_GB_vs_CHI_051_Q4_045_CHI,complete,2,1,1,8
Week_01_GB_vs_CHI_052_Q4_019_CHI,complete,0,3,3,8
Week_01_HOU_vs_BAL_001_Q1_1422_BAL,complete,4,3,1,7
Week_01_HOU_vs_BAL_002_Q1_1141_HOU,complete,0,7,7,10
Week_01_HOU_vs_BAL_003_Q1_1015_BAL,complete,0,5,5,11
Week_01_HOU_vs_BAL_004_Q1_725_BAL,interception,7,7,0,10
Week_01_HOU_vs_BAL_005_Q1_720_HOU,incomplete,0,1,1,11
Week_01_HOU_vs_BAL_006_Q1_139_BAL,complete,0,1,1,17
Week_01_HOU_vs_BAL_007_Q1_015_HOU,incomplete,1,9,8,12
Week_01_HOU_vs_BAL_008_Q1_011_HOU,complete,5,3,2,8
Week_01_HOU_vs_BAL_009_Q2_1343_BAL,complete,0,1,1,11
Week_01_HOU_vs_BAL_010_Q2_1150_HOU,complete,0,6,6,9
Week_01_HOU_vs_BAL_011_Q2_1024_HOU,complete,0,7,7,8
Week_01_HOU_vs_BAL_012_Q2_941_HOU,complete,0,7,7,10
Week_01_HOU_vs_BAL_013_Q2_812_HOU,complete,0,3,3,8
Week_01_HOU_vs_BAL_014_Q2_733_HOU,complete,0,1,1,10
Week_01_HOU_vs_BAL_015_Q2_650_HOU,complete,0,1,1,8
Week_01_HOU_vs_BAL_016_Q2_204_BAL,incomplete,0,1,1,15
Week_01_HOU_vs_BAL_017_Q2_108_HOU,complete,1,5,4,12
Week_01_HOU_vs_BAL_018_Q2_046_HOU,complete,0,7,7,13
Week_01_HOU_vs_BAL_019_Q2_035_HOU,incomplete,9,1,8,10
Week_01_HOU_vs_BAL_020_Q2_019_HOU,complete,0,1,1,8
Week_01_HOU_vs_BAL_021_Q3_1342_BAL,complete,0,10,10,15
Week_01_HOU_vs_BAL_022_Q3_1154_BAL,complete,0,1,1,9
Week_01_HOU_vs_BAL_023_Q3_1146_BAL,complete,0,4,4,10
Week_01_HOU_vs_BAL_024_Q3_1027_BAL,complete,0,3,3,7
Week_01_HOU_vs_BAL_025_Q3_830_HOU,complete,0,8,8,11
Week_01_HOU_vs_BAL_026_Q3_424_HOU,complete,5,1,4,8
Week_01_HOU_vs_BAL_027_Q3_400_HOU,complete,0,8,8,11
Week_01_HOU_vs_BAL_029_Q3_137_BAL,incomplete,0,3,3,9
Week_01_HOU_vs_BAL_030_Q3_054_BAL,complete,0,1,1,12
Week_01_HOU_vs_BAL_031_Q3_004_HOU,complete,0,10,10,11
